z,x,y,qx,qy,qz,qw
0.0,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
1.000100010001,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
2.000200020002,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
3.0003000300030003,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
4.000400040004,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
5.000500050005,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
6.0006000600060005,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
7.000700070007,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
8.000800080008,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
9.000900090009,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
10.00100010001,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
11.001100110011,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
12.001200120012001,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
13.001300130013,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
14.001400140014,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
15.001500150015,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
16.001600160016,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
17.001700170017,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
18.001800180018,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
19.001900190019,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
20.00200020002,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
21.002100210021002,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
22.002200220022,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
23.002300230023,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
24.002400240024002,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
25.002500250025,-25.0,0.0,0.0,-0.479425538604203,0.0,0.8775825618903728
